,,,,,,,,,Nutritional Panel (per 100g),,,,,,,Balancing fields,,,,,,,Calculated field,Calculated field,Calculated field,Calculated field,Calculated field,Recipe Ranges,,Cost,,,,,,,,,Chocolate,,,Allergens,,,,,,,,,,,,,,,,,,,,,,,
Name,Status,Category,Type,Ingredient,Component,Preparation,Brand,Food Composition ID,"Energy, FSANZ",Protein,"Fat, total","Fat, saturated (SFA)","Carbohydrate, available","Sugars, total",Sodium (mg),Water,Lactose,Sucrose,Fructose,Glucose,Alcohol,Dextrose,Total solids,Other solids,MSNF,PAC,POD,Min range,Max range,Supplier,Supplier code,Package size,Cost per pack (GST excl),Cost per pack,Price last updated,Initial cost per kg,% of useful product,Cost per kg,HF,Dry Cocoa solids (without fat),Cocoa butter,Wheat,​Fish,​Crustacean,​Mollusc,​Egg,​Milk,​Lupin,​Peanut,"​Soy, Soya, Soybean",​Sesame,​Almond,​Brazil Nut,​Cashew,​Hazelnut,​Macadamia,​Pecan,​Pistachio,​Pine Nut,​Walnut,​Barley*,​Oats*,​Rye*,​Sulphites**,FY24/25 Stocktake
Caster sugar,"Inactive, incomplete",Sugar,,,,,,W20,,0,0,,,100,0,0,0,100,0,0,0,0,100.0,0.0,0.0,100.0,100.0,,,Pak n save,,,$0.00,,,,,#DIV/0!,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
Chilli flakes,"Active, completed",Flavour,Dry,Chilli flakes,,,Generic,P28,1230,12.3,14.3,2.95,12.9,7.2,,10.8,0,0.8,4.3,2.1,0,0,89.2,55.4,0.0,13.0,9.6,,,Pak n Save,,35,$1.90,$2.19,,,,$62.57,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Chilli Powder,"Active, completed",Flavour,Dry,,,,,P28,1230,12.3,14.3,2.95,12.9,7.2,,10.8,0,0.8,4.3,2.1,0,,77.9,44.1,0.0,13.0,24.0,,,Pak n Save,,30,$1.73,$1.99,,,,$66.33,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Choc fudge,"Active, completed",Mix-in,z.Topping,Choc fudge,,,Homemade,,1098.72,5.22,19.23,12.60,15.55,20.16,485.22,,,,,,,,100.0,54.9,0.0,0.0,0.0,,,Home made,,1000,#N/A,#N/A,,,,#N/A,0,,0,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Choc stracciatella,"Active, completed",Mix-in,z.Topping,Choc stracciatella,,,Homemade,,2552.94,8.39,46.75,21.89,40.00,26.12,54.90,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0,#N/A,#N/A,,,Home made,,1000,$20.13,$23.15,,,,$23.15,,,0,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Chocolate 70% (Generic),"Inactive, incomplete",Chocolate,,Chocolate 70%,,,Generic,W1026,2380,10.1,40.5,25.1,35.8,32.1,7,0.5,0.2,31.6,0.1,0.2,0,0,99.5,16.8,0.0,32.4,31.9,,,,,,$0.00,,,,,#DIV/0!,84.87,27,41,,,,,,,,,,,,,,,,,,,,,,,,
"Chocolate couverture, 56% (Callebaut)","Active, incomplete",Chocolate,Wet,"Chocolate couverture, 33%",,,Callebaut,,2296,5.2,36.2,21.6,46.2,43.6,4,0.8,6.0,37.0,0.3,0.4,0,0.0,99.2,14.2,0.0,44.3,38.8,,,Equagold,,1000,$46.37,$53.33,17-Jul-2025,,,$53.33,67.5,19,36,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Chocolate couverture, 70% (Callebaut) ","Active, incomplete",Chocolate,Wet,"Chocolate couverture, 70%",,,Callebaut,,2250,9,38.5,23.1,30.9,26.5,2,1,0,26.3,0.1,0.1,0,#DIV/0!,99.0,25.0,0.0,#DIV/0!,#DIV/0!,,,Equagold,,1000,$51.13,$58.80,17-Jul-2025,,,$58.80,95.85,34,39,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,6kg
"Chocolate couverture, 72% (Whittakers)","Active, completed",Chocolate,Dry,"Chocolate couverture, 72%",,,Whittakers,,2320,10.7,34.3,21.7,51,33.3,70,0.5,0.2,32.9,0.1,0.1,0,0,99.5,21.1,0.0,33.5,33.2,,,Davis,CHOCDG,2000,$48.88,$56.21,22-May-2025,,,$28.11,88.29,32,34,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2kg
"Chocolate couverture, 73% (Belcolade) ","Inactive, completed",Chocolate,,"Chocolate couverture, 73%",,,Belcolade,,2366,9.2,43.6,26.9,28.3,23.5,7,1,0.1,23.2,0.1,0.1,0,0,99.0,22.7,0.0,23.7,23.5,,,Equagold,,1000,$24.55,$28.23,,,,$28.23,96.66,32,44,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
